id,url,cidade,bairro,tipo,area,quartos,banheiros,vagas,elevador,porteiro,area_lazer,academia,varanda,mobiliado,preco,vagas_ausente
1516601651,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-a-locacao-em-sao-diogo-ii-serra-es-1516601651,serra,jardim-limoeiro,1,51.0,2,1,1,1,0,1,0,0,1,2100.0,0
1516597466,https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluga-se-kitnet-mobiliada-com-ar-condicionado-rio-branco-cariacica-1516597466,cariacica,itangua,1,30.0,1,1,0,0,0,0,0,0,1,1300.0,0
1514657442,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-de-alto-padrao-para-aluguel-em-praia-de-itaparica-vila-velha-es-1514657442,vila-velha,praia-de-itaparica,0,298.0,4,4,4,0,0,0,0,1,0,12000.0,0
1516587679,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-com-2-quartos-para-alugar-em-serra-1516587679,serra,sao-pedro,1,50.0,2,1,1,1,1,1,0,1,0,1805.0,0
1516588125,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-mobiliado-pronto-para-morar-1516588125,serra,ourimar,1,60.0,2,1,1,1,1,1,1,1,1,1800.0,0
1516587462,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apt-mobiliado-1-quarto-1516587462,vitoria,jardim-camburi,1,36.0,1,1,1,1,1,1,1,1,1,2700.0,0
1516586532,https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluga-se-kitnet-mobiliada-rio-branco-cariacica-1516586532,cariacica,itangua,1,30.0,1,1,0,0,0,0,0,1,1,1200.0,0
1516581928,https://es.olx.com.br/norte-do-espirito-santo/imoveis/alianca-web-aluga-1516581928,vila-velha,itapua,1,50.0,1,1,0,1,0,0,0,0,0,1400.0,0
1516581416,https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluguel-2-quartos-c-suite-andar-alto-e-planejados-praia-de-itaparica-1516581416,vila-velha,praia-de-itaparica,1,60.0,2,2,1,1,1,1,0,0,0,3000.0,0
1516581424,https://es.olx.com.br/norte-do-espirito-santo/imoveis/alugo-excelente-apartamento-de-02-quartos-no-ed-unique-em-jardim-camburi-1516581424,vitoria,jardim-camburi,1,63.0,2,2,1,1,1,1,1,0,0,4200.0,0
1516581212,https://es.olx.com.br/norte-do-espirito-santo/imoveis/locacao-anual-no-ipiranga-conforto-e-sossego-em-casa-de-3-quartos-com-2-suites-1516581212,guarapari,ipiranga,0,80.0,3,1,1,0,0,0,0,0,0,3000.0,0
1516580588,https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluguel-kit-net-otima-localizacao-5-minutos-de-campo-grande-1516580588,cariacica,campo-grande,1,30.0,1,1,0,0,0,0,0,1,0,550.0,0
1516575105,https://es.olx.com.br/norte-do-espirito-santo/imoveis/imovel-para-aluguel-possui-110-metros-quadrados-com-3-quartos-em-praia-do-canto-vitoria-1516575105,vitoria,praia-do-canto,1,110.0,3,1,1,0,0,0,0,0,0,3500.0,0
1504722308,https://es.olx.com.br/norte-do-espirito-santo/imoveis/quartos-climatizados-marcenaria-de-alto-padrao-predio-entregue-ha-apenas-3-anos-1504722308,vila-velha,itapua,1,68.0,2,2,1,1,1,1,1,0,1,4800.0,0
1511499501,https://es.olx.com.br/norte-do-espirito-santo/imoveis/ap-2-qts-suite-berverly-hills-1511499501,vila-velha,itapua,1,75.0,2,2,2,1,1,1,1,1,1,4300.0,0
1516568392,https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluguel-de-ap-morada-de-laranjeiras-1516568392,serra,morada-de-laranjeiras,1,52.0,2,1,1,1,1,1,1,1,0,1800.0,0
1516568316,https://es.olx.com.br/norte-do-espirito-santo/imoveis/imovel-para-aluguel-tem-56-metros-quadrados-com-2-quartos-em-ataide-vila-velha-es-1516568316,vila-velha,ataide,1,56.0,2,2,2,1,0,1,0,0,0,2500.0,0
1516567193,https://es.olx.com.br/norte-do-espirito-santo/imoveis/morada-de-laranjeiras-02-quartos-varanda-andar-alto-armario-na-cozinha-1516567193,serra,morada-de-laranjeiras,1,45.0,2,1,1,1,1,1,0,1,0,1500.0,0
1516567577,https://es.olx.com.br/norte-do-espirito-santo/imoveis/imovel-para-venda-com-48-metros-quadrados-com-1-quarto-em-ponta-da-fruta-vila-velha-es-1516567577,vila-velha,ponta-da-fruta,1,48.0,1,1,0,0,0,0,0,0,0,1400.0,0
1516564951,https://es.olx.com.br/norte-do-espirito-santo/imoveis/locacao-2q-na-praia-da-costa-vila-velha-es-1516564951,vila-velha,praia-da-costa,1,65.0,2,1,1,0,0,0,0,0,0,3000.0,0
1516563089,https://es.olx.com.br/norte-do-espirito-santo/imoveis/03-quartos-praia-da-costa-1516563089,vila-velha,itapua,1,100.0,3,3,1,1,1,1,0,1,0,4500.0,0
1516561954,https://es.olx.com.br/norte-do-espirito-santo/imoveis/aluga-se-apartamento-2-quartos-no-bairro-jockey-de-itaparica-1516561954,vila-velha,jockey-de-itaparica,1,67.0,2,2,1,0,0,0,0,1,0,2100.0,0
